graph_id,graph_id_2
TA1307000164,TA1309000037
TA1307000113,TA1306000009
TA1305000039,TA1308000050
643,TA1307000052
TA1305000022,KA1504000135
2059,623
TA1305000030,chargingstx3
TA1308000001,TA1307000142
TA1309000041,KA1504000079
13084,KA1504000114
344,
13137,13154
15544,13075
15535,23001
21544,WL-012
WL-012,15534
15546,15534
18058,15668
15645,13084
13061,TA1309000006
15650,13341
632,TA1309000030
18067,KA17018068
TA1307000149,431
652,TA1307000160
KA1504000135,RN-
443,TA1309000035
TA1307000117,17660
360,KA1504000139
13338,chargingstx4
TA1309000027,TA1309000061
TA1307000142,21544
434,458
KA1503000064,TA1305000001
13157,13179
TA1306000029,KA1504000134
TA1307000144,
13029,TA1306000013
13269,13229
15644,518
TA1307000039,TA1308000049
TA1305000011,13179
TA1307000041,TA1309000050
15576,TA1308000001
13303,13243
20211,20131
KA1503000012,13221
TA1308000019,KA1504000117
13192,13325
13303,TA1307000163
TA1309000039,TA1307000142
439,13253
13341,TA1307000126
13341,23003
TA1305000032,TA1305000017
13028,13099
TA1305000022,13056
13102,TA1305000005
13263,TA1307000163
TA1307000006,TA1307000126
13138,KA1504000079
TA1307000052,TA1308000050
TA1309000033,TA1306000012
15631,18016
TA1309000007,13006
13157,TA1307000121
KA1503000059,TA1309000063
13143,13269
TA1308000005,13430
TA1307000166,13193
13061,13290
TA1309000002,TA1307000140
13036,13029
TA1307000121,636
13063,13319
WL-008,644
TA1305000025,TA1307000131
13257,13289
KA1706005007,KA1503000034
TA1305000041,18058
13304,13011
13016,13221
TA1307000127,TA1307000142
SL-010,KA1503000012
13345,TA1307000048
KA1504000117,TA1309000024
13143,KA1504000151
TA1308000006,13241
TA1305000030,624
629,
TA1309000036,15576
13143,13277
580,20229
TA1306000013,SL-008
TA1309000004,TA1307000142
13156,13160
13243,TA1309000029
13150,13191
KA1504000078,TA1309000042
527,517
TA1307000128,TA1305000030
15539,TA1307000052
TA1308000012,TA1309000027
TA1305000037,13258
TA1305000009,chargingstx4
TA1305000034,TA1309000012
13080,TA1307000128
15545,13150
360,15628
15539,13265
13108,15575
13050,620
TA1305000002,TA1305000001
13196,TA1306000012
WL-012,TA1308000036
15546,TA1308000036
TA1307000048,KA1503000064
13068,
TA1309000032,13277
KA1503000044,13338
370,15653
TA1305000005,15541
E011,KA1504000162
13045,TA1306000011
RP-009,605
13080,13089
16948,349
13271,632
13290,13409
WL-012,TA1307000062
21544,21544
13050,13248
20255.0,13011
13430,TA1309000025
TA1305000014,TA1307000115
TA1307000001,TA1307000113
13300,TA1306000013
KA1504000114,TA1307000120
SL-010,TA1306000015
13258,TA1309000004
15539,TA1308000043
13102,624
TA1307000111,TA1309000036
13053,SL-008
15645,18058
13160,13285
660,515
13221,TA1305000034
13338,13278
13389,RN-
13074,chargingstx5
13268,13011
657,13430
13265,TA1306000032
13285,TA1305000041
13278,13042
TA1309000059,13296
13304,13157
13430,TA1305000032
13084,13160
KA1504000135,TA1305000029
658,13256
TA1305000003,TA1305000035
TA1309000026,KA1504000149
13197,18062
13068,15646
TA1305000030,TA1305000005
13432,13221
13085,13288
18062,18058
641,
13292,13243
TA1309000008,SL-008
13430,15544
13137,13294
TA1307000001,13154
13008,13011
446,15623
TA1306000009,TA1306000013
527,RP-005
15651,13271
TA1306000026,TA1309000039
13085,TA1305000037
TA1308000022,TA1309000035
13068,13133
13146,13016
13338,LP-
15539,SL-008
13243,20254.0
13045,TA1305000029
,20253.0
18003,13193
13124,TA1307000136
13303,13034
TA1307000107,TA1307000149
TA1307000150,TA1305000034
TA1309000026,632
15578,TA1307000144
13146,13138
13008,TA1306000016
13341,13033
KP1705001026,13132
18067,13296
13432,13432
13245,632
13431,13008
TA1309000026,13338
KA1503000009,TA1309000037
15686,TA1309000064
13036,15642
SL-010,TA1309000004
KA1504000096,
TA1307000142,13323
20256.0,TA1307000126
TA1305000014,TA1307000038
TA1306000016,18069
KA17018054,TA1307000151
SL-005,13431
TA1309000007,chargingstx1
KA1503000034,KA1503000034
TA1307000119,525
13008,13276
13022,13300
TA1309000007,15529
TA1306000029,TA1309000039
TA1306000015,13289
TA1307000126,15575
TA1308000050,WL-012
15530,13257
TA1309000061,20252.0
475,432
13379,TA1305000020
605,520
TA1309000064,WL-012
TA1306000009,TA1306000026
,20207
346,344
KA1504000135,TA1306000011
13196,13022
KA1503000072,13353
TA1309000035,KA1504000162
13074,TA1307000107
13243,TA1305000041
TA1309000008,TA1308000043
TA1307000107,13008
KA1503000064,13128
WL-011,13432
13192,15578
TA1305000002,13008
13379,TA1308000001
,329.0
TA1305000020,TA1307000151
13277,TA1309000061
590,507
13068,KA1504000133
15544,TA1306000013
13081,13247
13042,13058
18003,637
KP1705001026,TA1307000166
21544,TA1309000059
TA1306000009,15539
TA1307000120,TA1309000010
TA1306000014,331
TA1307000041,18003
13265,TA1309000030
13033,18058
TA1307000044,TA1309000001
13253,TA1307000039
TA1309000023,TA1309000018
15653,16921
624,TA1307000151
TA1305000039,13289
TA1308000050,TA1309000049
13354,644
TA1309000037,KA1503000054
TA1309000033,472
TA1307000070,441
13338,13146
KA1503000071,
15530,KA1503000044
KA1504000093,443
13290,13080
TA1306000016,638
13001,KA1504000135
SL-012,13163
TA1309000008,13265
13285,TA1309000001
TA1309000008,TA1307000052
TA1307000039,13247
13389,13137
TA1309000012,TA1307000126
TA1308000049,13341
13389,E002
13427,SL-009
TA1307000115,TA1307000143
13068,13409
TA1307000134,KA17018068
13278,TA1307000134
KA1504000078,TA1309000066
TA1305000014,TA1309000041
TA1307000117,TA1306000002
TA1309000063,13099
605,KA1504000156
595,
KA1504000146,15575
13430,TA1305000006
13080,13307
13135,13300
TA1306000010,WL-008
13016,TA1307000039
KA1504000133,13427
TA1305000032,13021
418,631
TA1307000048,KA1503000038
13398,TA1308000009
13157,20246.0
TA1305000005,15535
E008,520
13290,
KA1503000015,TA1309000008
TA1305000029,13156
TA1307000130,638
TA1309000049,13022
KA1504000103,13068
632,TA1306000032
TA1309000032,TA1309000024
13080,13139
TA1305000011,20246.0
13326,KA1503000044
439,15634
592,
18022,KA1503000040
TA1308000050,13001
TA1306000011,13235
KA1503000012,TA1307000039
TA1307000120,13081
13290,13133
TA1305000003,TA1308000001
chargingstx5,13229
13053,13265
TA1309000064,TA1307000070
WL-008,TA1309000002
13075,13157
TA1308000050,TA1307000070
13289,13243
13045,RN-
TA1306000015,TA1305000022
TA1309000064,13001
331,TA1306000016
KA1503000012,13432
13292,13034
TA1305000006,TA1307000151
KA1503000064,13008
TA1309000025,13136
TA1305000032,TA1305000009
15571,KA1504000078
13193,15632
TA1305000003,TA1305000020
TA1307000006,18067
TA1307000142,TA1309000059
18069,13243
TA1309000033,13022
TA1308000012,13074
13061,13259
13379,KA1504000080
TA1307000156,KA1504000158
TA1306000032,13268
15622,TA1308000019
13037,15535
KA1503000068,KA1503000066
TA1306000010,TA1306000010
TA1305000034,13242
331,13276
13431,TA1309000002
13194,TA1305000032
TA1307000134,TA1309000026
13033,13224
20223,20219
TA1306000009,637
13160,TA1307000120
,KA1706005007
15491,TA1308000035
KA1504000079,13008
SL-012,TA1305000035
KA1504000133,13021
TA1309000007,13016
13304,TA1309000001
TA1305000014,TA1309000061
KA1504000135,13034
TA1305000041,13434
TA1305000032,13427
21544,KA1503000034
TA1308000012,13379
KA1504000133,13430
13036,13008
13056,13073
chargingstx5,TA1309000050
13132,13156
15575,KA1504000151
13056,13341
TA1306000006,TA1307000115
13158,KA1504000133
13156,KA1503000072
TA1309000059,LF-005
TA1309000039,13278
TA1307000140,TA1309000041
TA1309000033,20246.0
TA1309000006,KA1503000072
TA1309000006,chargingstx1
KA1503000034,15446
TA1309000019,TA1306000009
TA1305000020,TA1308000029
18003,TA1306000026
TA1308000006,TA1305000039
RP-005,RP-004
TA1307000131,13409
16948,20234
13050,KA1504000135
RP-009,TA1307000126
TA1306000015,TA1308000049
18062,13050
KA1503000007,15545
15654,
13033,13061
13303,TA1306000011
KA1504000103,658
TA1309000035,KA1504000078
TA1306000026,331
13243,13011
TA1306000032,TA1306000032
13253,TA1307000113
TA1307000064,TA1308000019
TA1305000035,13257
TA1307000127,13278
13164,TA1307000159
13034,15578
13242,18067
TA1307000120,13221
TA1307000134,TA1309000035
13085,KA1503000043
TA1307000001,13221
TA1309000053,TA1305000004
13058,TA1306000009
13430,13253
TA1305000002,TA1309000002
TA1307000115,13136
TA1309000030,20254.0
13269,13243
TA1307000111,TA1307000066
TA1307000052,TA1307000156
TA1305000011,13022
13068,KA1503000015
TA1309000049,20246.0
TA1307000006,chargingstx0
TA1306000012,13303
TA1307000119,TA1309000043
13265,KP1705001026
SL-013,13053
TA1306000012,13197
TA1307000107,TA1307000001
13245,TA1309000004
13006,TA1306000025
15534,TA1307000111
13196,20246.0
,15654
TA1305000003,chargingstx3
23001,13061
KP1705001026,TA1307000151
13059,TA1309000035
TA1307000142,KA1503000034
13268,TA1309000029
13150,13300
13016,TA1307000113
TA1305000006,TA1308000029
20234,650
TA1308000049,13241
TA1309000007,TA1307000044
18062,13434
13235,TA1309000027
TA1306000008,18067
TA1306000012,636
13008,TA1309000001
13278,TA1307000144
TA1309000023,13063
TA1307000107,TA1306000014
TA1306000029,TA1305000032
547,
TA1309000053,KA1503000004
13427,KP1705001026
KA1504000090,TA1307000156
KA1504000148,TA1309000006
TA1307000151,TA1309000042
TA1307000150,TA1307000120
13338,TA1307000142
KA1504000103,13158
15578,TA1308000022
13154,TA1307000131
13063,TA1309000023
13379,15575
TA1306000029,TA1309000025
KA1504000103,21544
TA1307000129,KA1503000004
TA1309000015,655
202480.0,
13136,TA1309000050
TA1309000061,13430
TA1305000009,TA1306000003
13265,13353
TA1309000061,13021
13288,13084
13277,TA1309000041
13257,13247
TA1307000150,15628
13276,TA1308000012
13138,TA1309000007
TA1307000111,13389
15578,13059
23001,13224
TA1309000025,13263
13155,WL-012
13158,13409
13296,TA1307000156
KA1503000064,TA1309000002
SL-009,13345
13137,TA1307000166
TA1309000037,KA1503000070
13248,KA1503000072
13157,KA1504000104
13045,TA1307000163
13042,TA1305000035
TA1307000039,TA1309000024
TA1305000029,TA1305000030
15651,15530
TA1305000041,13050
13063,13271
TA1309000006,13137
KA1503000021,KA1503000021
TA1307000131,KA1504000133
TA1308000035,KA1503000002
15550,TA1307000121
TA1308000049,TA1306000029
13248,RN-
TA1305000002,13029
TA1306000026,TA1305000032
13075,TA1309000001
TA1309000026,RP-007
KA1504000140,KA1504000104
TA1307000124,TA1308000050
23001,13050
13398,KA1503000071
13050,TA1307000111
636,TA1306000010
TA1308000050,13323
TA1305000005,TA1307000039
13016,15535
KA1503000032,KA1503000032
15446,TA1308000002
TA1309000039,13146
TA1309000019,TA1306000032
518,20246.0
KA1504000104,16937
13156,TA1305000029
TA1309000049,428
TA1307000064,TA1307000140
TA1305000041,13224
KA1504000149,15578
13430,13194
13001,15576
KA1503000044,TA1309000004
525,KA1504000162
KA1503000012,TA1309000010
,TA1307000131
TA1307000149,13235
TA1306000026,13192
13033,13434
KA1504000135,TA1307000163
13307,13206
331,TA1305000041
13085,13235
432,432
13221,TA1308000005
15442,
KA1504000134,TA1307000052
KA1503000015,13193
TA1308000019,
KA1504000156,598
20252.0,632
636,WL-008
TA1309000049,WL-012
13241,654
TA1309000002,TA1305000030
SL-010,TA1305000025
KA1503000015,13075
13058,TA1306000032
13016,TA1309000010
chargingstx1,TA1309000058
TA1306000010,TA1308000006
15667,13243
13271,13268
13146,13006
13249,13253
TA1309000007,13053
13194,331
KA1503000072,TA1306000032
13001,TA1307000117
TA1307000052,TA1309000033
TA1309000035,13085
TA1307000111,TA1305000014
13135,13191
833,832
15615,15654
KA1504000079,13138
TA1306000010,13259
13144,TA1307000150
TA1305000041,13061
15546,13102
TA1307000127,13146
20226,20228
TA1309000041,TA1307000126
13196,TA1309000049
434,KA1504000149
13431,13029
13034,TA1309000053
13036,13138
20252.0,13338
21544,13001
TA1307000038,KA1504000103
SL-013,TA1307000044
TA1306000026,TA1309000025
TA1306000032,TA1306000009
13216,KA1503000027
13136,13243
13243,23001
637,KA1504000103
TA1307000113,TA1309000030
15644,KA1504000140
KA1503000034,15534
13224,13133
SL-009,SL-008
20114,20131
TA1309000049,TA1309000049
TA1308000050,20249.0
TA1309000033,13179
TA1307000158,TA1307000144
15535,TA1307000131
TA1305000001,SL-005
13128,15628
TA1305000020,13154
13081,15664
13099,13341
KA1503000064,13029
16915,
13303,KA1504000114
13242,TA1308000031
13063,445
13398,TA1307000164
TA1307000119,TA1309000066
WL-008,13138
13137,TA1307000064
13307,13162
599,
KA1504000104,TA1307000070
18003,TA1306000013
638,LF-005
13191,15654
13288,TA1309000036
13268,TA1305000041
13196,WL-012
TA1307000124,TA1305000011
13192,18067
TA1305000011,TA1306000012
13022,13191
13288,TA1309000064
20253.0,chargingstx5
TA1305000022,15650
13179,20256.0
429,13084
TA1309000027,TA1309000041
13259,13258
15534,KA1504000135
KA1503000034,21544
TA1307000111,22001
15576,15575
13332,13341
KA1503000034,13158
TA1306000015,13247
13074,13108
13156,RN-
16010,
13296,TA1309000033
13133,13132
13045,13034
13269,TA1309000050
,1040
TA1309000002,KA1503000064
15550,WL-012
13248,TA1305000029
13277,TA1307000115
13033,13050
RN-,SL-008
SL-010,TA1307000128
TA1309000033,TA1309000049
658,13292
592,KA1504000097
13021,TA1309000058
18062,13061
TA1306000012,TA1306000006
TA1309000049,13179
13285,13011
596,TA1309000041
13158,13080
TA1309000055,TA1308000046
TA1309000043,KA1504000139
TA1305000032,20251.0
13071,13319
13150,SL-010
WL-011,15535
TA1309000011,KA1503000046
RN-,13206
13224,
KA1504000093,KA1504000158
TA1306000025,13304
631,TA1309000007
13196,428
13241,TA1308000050
TA1305000002,644
13379,13058
523,517
13042,TA1308000001
TA1305000014,18003
TA1307000142,13001
TA1307000130,TA1305000002
